rir_name,T60_125Hz,T60_250Hz,T60_500Hz,T60_1000Hz,T60_2000Hz,T60_4000Hz,T60_8000Hz,Source_Pos,Receiver_Pos,mesh_name,Distance,delay,peak_onset,peak_amplitude,peak_amplitude_normalized_by_distance
58182b3f-7bbe-4f79-a753-fda11c5941ef/L4_R0018.wav,0.67,0.88,0.93,0.93,0.49,0.49,0.48,[-1.0872  1.9     2.823 ],[-2.0872  0.9    -0.177 ],58182b3f-7bbe-4f79-a753-fda11c5941ef/house.obj,3.3166247903554,154.71136048305073,155.0,0.3549826443195343,1.1773442382960808
58182b3f-7bbe-4f79-a753-fda11c5941ef/L4_R0029.wav,0.88,0.93,0.93,0.92,0.51,0.5,0.5,[-1.0872  1.9     2.823 ],[-1.0872  1.9     1.823 ],58182b3f-7bbe-4f79-a753-fda11c5941ef/house.obj,1.0,46.647230320699705,53.0,1.1878924369812012,1.1878924369812012
58182b3f-7bbe-4f79-a753-fda11c5941ef/L5_R0024.wav,0.73,0.91,0.93,0.95,0.45,0.41,0.41,[-5.0872  1.9    -2.177 ],[-5.0872  0.9     0.823 ],58182b3f-7bbe-4f79-a753-fda11c5941ef/house.obj,3.1622776601683795,147.51149435187776,147.0,0.377528429031372,1.1938497172043712
fbb124a7-d4d2-46a0-9465-fc790f714350/L3_R0049.wav,1.4,1.29,1.33,1.38,0.77,0.75,0.7,[2.9563 0.9997 5.4995],[ 1.9563  1.9997 -0.5005],fbb124a7-d4d2-46a0-9465-fc790f714350/house.obj,6.164414002968976,287.55283978864026,298.0,0.1192774251103401,0.7352754295882639
2513701f-f5ab-41b5-9d0b-af10956551bf/L3_R0005.wav,0.21,0.26,0.23,0.22,0.19,0.18,0.17,[ 1.9847  0.9997 -5.0348],[ 1.9847  1.9997 -5.0348],2513701f-f5ab-41b5-9d0b-af10956551bf/house.obj,1.0,46.647230320699705,46.0,1.000869870185852,1.000869870185852
2513701f-f5ab-41b5-9d0b-af10956551bf/L5_R0028.wav,0.22,0.2,0.17,0.14,0.12,0.12,0.11,[-1.0153  0.9997  0.9652],[-1.0153  0.9997 -0.0348],2513701f-f5ab-41b5-9d0b-af10956551bf/house.obj,1.0,46.647230320699705,46.0,1.0028990507125854,1.0028990507125854
e73861c0-7072-467d-be89-e48dad7532c8/L1_R0003.wav,1.3,1.18,0.96,0.89,0.73,0.61,0.53,[ 1.7637  0.9987 -0.387 ],[ 0.7637  0.9987 -4.387 ],e73861c0-7072-467d-be89-e48dad7532c8/house.obj,4.12310562561766,192.33145775475964,191.0,0.2263727635145187,0.9333588147333282
e73861c0-7072-467d-be89-e48dad7532c8/L2_R0003.wav,1.11,1.28,1.0,0.88,0.74,0.62,0.54,[-0.2363  0.9987 -1.387 ],[ 0.7637  0.9987 -4.387 ],e73861c0-7072-467d-be89-e48dad7532c8/house.obj,3.162277660168379,147.51149435187773,147.0,0.3794718086719513,1.199995223227001
0b105b2a-e368-40ef-90a3-a4c422b915b4/L3_R0047.wav,0.87,0.28,0.37,0.36,0.36,0.36,0.35,[-2.0786  1.9988 -0.1962],[-0.0786  1.9988 -4.1962],0b105b2a-e368-40ef-90a3-a4c422b915b4/house.obj,4.47213595499958,208.61275591834772,216.0,0.1937619596719741,0.8665298265602139
14abc843-9e80-447d-866b-7b4c16dc5097/L1_R0008.wav,0.09,0.05,0.04,0.02,0.02,0.02,0.02,[-0.6892  2.9987 -2.7884],[-1.6892  2.9987 -2.7884],14abc843-9e80-447d-866b-7b4c16dc5097/house.obj,1.0,46.647230320699705,46.0,0.9881312847137452,0.9881312847137452
14abc843-9e80-447d-866b-7b4c16dc5097/L4_R0009.wav,0.18,0.19,0.13,0.2,0.18,0.16,0.14,[-2.6892  0.9987 -1.7884],[-3.6892  0.9987 -1.7884],14abc843-9e80-447d-866b-7b4c16dc5097/house.obj,1.0,46.647230320699705,46.0,1.0009305477142334,1.0009305477142334
954a76fa-cd70-45f0-b0e2-61d942fd9bfa/L4_R0048.wav,0.59,0.66,0.82,0.77,0.44,0.4,0.37,[-1.363   0.9999 -0.6924],[ 3.637   0.9999 -0.6924],954a76fa-cd70-45f0-b0e2-61d942fd9bfa/house.obj,5.0,233.2361516034985,238.0,0.1542930603027343,0.7714653015136714
aa78e27f-dee2-4d64-b9b4-379209f22659/L2_R0004.wav,0.93,0.8,0.71,0.65,0.45,0.43,0.4,[-2.3727  1.9    -1.4698],[ 2.6273  1.9    -6.4698],aa78e27f-dee2-4d64-b9b4-379209f22659/house.obj,7.071067811865476,329.8457288333749,328.0,0.1054322719573974,0.7455187445697999
85cb63d9-ee2b-4177-9b0e-fb2e88f8258d/L4_R0065.wav,0.62,0.66,0.74,0.72,0.63,0.64,0.58,[-2.1572  1.9987  0.2785],[-1.1572  1.9987  3.2785],85cb63d9-ee2b-4177-9b0e-fb2e88f8258d/house.obj,3.1622776601683795,147.51149435187776,147.0,0.38103848695755,1.2049494949702209
9c5b2318-55ab-4839-b470-5dd0856a3385/L2_R0027.wav,1.15,1.33,1.07,0.99,0.8,0.83,0.76,[-1.9586  1.9     2.5156],[-1.9586  1.9     8.5156],9c5b2318-55ab-4839-b470-5dd0856a3385/house.obj,5.999999999999999,279.8833819241982,279.0,0.1450852751731872,0.8705116510391231
9c5b2318-55ab-4839-b470-5dd0856a3385/L4_R0004.wav,1.17,1.32,1.09,0.97,0.77,0.78,0.73,[-0.9586  1.9    10.5156],[-0.9586  1.9     0.5156],9c5b2318-55ab-4839-b470-5dd0856a3385/house.obj,10.0,466.4723032069971,470.0,0.0724514499306678,0.7245144993066779
9c5b2318-55ab-4839-b470-5dd0856a3385/L4_R0021.wav,1.16,1.24,1.13,0.97,0.79,0.81,0.75,[-0.9586  1.9    10.5156],[-2.9586  1.9     3.5156],9c5b2318-55ab-4839-b470-5dd0856a3385/house.obj,7.280109889280517,339.59696276527194,347.0,0.1554072052240371,1.1313815316169593
9c5b2318-55ab-4839-b470-5dd0856a3385/L4_R0033.wav,1.22,1.45,1.26,1.0,0.8,0.81,0.74,[-0.9586  1.9    10.5156],[-1.9586  1.9    10.5156],9c5b2318-55ab-4839-b470-5dd0856a3385/house.obj,1.0,46.6472303206997,46.0,1.001918077468872,1.001918077468872
613659b3-841c-4862-978d-14c487fbb222/L1_R0020.wav,0.4,0.47,0.43,0.44,0.37,0.32,0.3,[ 2.835   0.9    -2.0475],[ 1.835   0.9    -2.0475],613659b3-841c-4862-978d-14c487fbb222/house.obj,1.0,46.647230320699705,46.0,0.9991925358772278,0.9991925358772278
8a41712e-1a55-407f-92f7-3c7cbd4366e2/L2_R0044.wav,0.61,0.7,0.65,0.63,0.46,0.45,0.41,[ 2.8515  0.9995 -4.662 ],[-0.1485  0.9995  0.338 ],8a41712e-1a55-407f-92f7-3c7cbd4366e2/house.obj,5.830951894845301,271.9977560277691,271.0,0.1509362906217575,0.8801022498018579
