rir_name,T60_125Hz,T60_250Hz,T60_500Hz,T60_1000Hz,T60_2000Hz,T60_4000Hz,T60_8000Hz,Source_Pos,Receiver_Pos,mesh_name
db9f532a-0268-4c8e-81cc-fc964de51a68/L1_R0017.wav,0.69,0.72,0.72,0.69,0.51,0.45,0.38,[2.2116 1.9224 3.0483],[-2.7884  0.9224 -0.9517],db9f532a-0268-4c8e-81cc-fc964de51a68/house.obj
db9f532a-0268-4c8e-81cc-fc964de51a68/L1_R0054.wav,0.57,0.61,0.74,0.62,0.49,0.43,0.34,[2.2116 1.9224 3.0483],[0.2116 0.9224 2.0483],db9f532a-0268-4c8e-81cc-fc964de51a68/house.obj
db9f532a-0268-4c8e-81cc-fc964de51a68/L1_R0068.wav,0.55,0.71,0.89,0.73,0.5,0.42,0.34,[2.2116 1.9224 3.0483],[3.2116 0.9224 3.0483],db9f532a-0268-4c8e-81cc-fc964de51a68/house.obj
db9f532a-0268-4c8e-81cc-fc964de51a68/L3_R0022.wav,0.75,0.65,0.75,0.64,0.51,0.45,0.36,[4.2116 1.9224 1.0483],[-1.7884  0.9224  0.0483],db9f532a-0268-4c8e-81cc-fc964de51a68/house.obj
db9f532a-0268-4c8e-81cc-fc964de51a68/L4_R0067.wav,0.62,0.63,0.7,0.57,0.5,0.42,0.35,[3.2116 0.9224 1.0483],[2.2116 0.9224 3.0483],db9f532a-0268-4c8e-81cc-fc964de51a68/house.obj
db9f532a-0268-4c8e-81cc-fc964de51a68/L5_R0020.wav,0.69,0.62,0.75,0.65,0.52,0.46,0.37,[3.2116 1.9224 3.0483],[-4.7884  0.9224  0.0483],db9f532a-0268-4c8e-81cc-fc964de51a68/house.obj
db9f532a-0268-4c8e-81cc-fc964de51a68/L5_R0030.wav,0.61,0.68,0.75,0.64,0.53,0.47,0.38,[3.2116 1.9224 3.0483],[-4.7884  1.9224  0.0483],db9f532a-0268-4c8e-81cc-fc964de51a68/house.obj
db9f532a-0268-4c8e-81cc-fc964de51a68/L5_R0036.wav,0.63,0.67,0.8,0.7,0.51,0.43,0.35,[3.2116 1.9224 3.0483],[4.2116 1.9224 0.0483],db9f532a-0268-4c8e-81cc-fc964de51a68/house.obj
db9f532a-0268-4c8e-81cc-fc964de51a68/L5_R0046.wav,0.62,0.66,0.75,0.64,0.52,0.48,0.38,[3.2116 1.9224 3.0483],[-5.7884  1.9224  1.0483],db9f532a-0268-4c8e-81cc-fc964de51a68/house.obj
db9f532a-0268-4c8e-81cc-fc964de51a68/L5_R0072.wav,0.51,0.8,0.96,0.96,0.5,0.41,0.34,[3.2116 1.9224 3.0483],[4.2116 1.9224 3.0483],db9f532a-0268-4c8e-81cc-fc964de51a68/house.obj
7652d989-386d-4037-8f77-828fcae6ec2c/L1_R0008.wav,0.98,0.75,0.88,0.97,1.01,0.94,0.75,[ 2.46   1.9   -0.189],[2.46  1.9   0.811],7652d989-386d-4037-8f77-828fcae6ec2c/house.obj
7652d989-386d-4037-8f77-828fcae6ec2c/L2_R0002.wav,0.95,0.77,0.99,0.97,1.02,0.96,0.77,[ 0.46   1.9   -1.189],[-1.54   1.9   -3.189],7652d989-386d-4037-8f77-828fcae6ec2c/house.obj
7652d989-386d-4037-8f77-828fcae6ec2c/L2_R0004.wav,0.87,0.84,1.0,1.03,1.04,0.97,0.77,[ 0.46   1.9   -1.189],[-1.54   1.9   -1.189],7652d989-386d-4037-8f77-828fcae6ec2c/house.obj
7652d989-386d-4037-8f77-828fcae6ec2c/L2_R0007.wav,0.88,0.76,0.98,1.02,1.04,0.98,0.78,[ 0.46   1.9   -1.189],[ 1.46   1.9   -0.189],7652d989-386d-4037-8f77-828fcae6ec2c/house.obj
7652d989-386d-4037-8f77-828fcae6ec2c/L2_R0008.wav,0.84,0.71,1.0,0.97,1.04,0.97,0.77,[ 0.46   1.9   -1.189],[2.46  1.9   0.811],7652d989-386d-4037-8f77-828fcae6ec2c/house.obj
7652d989-386d-4037-8f77-828fcae6ec2c/L3_R0003.wav,1.25,1.06,1.22,1.19,0.97,0.93,0.77,[ 3.46   1.9   -4.189],[ 3.46   1.9   -3.189],7652d989-386d-4037-8f77-828fcae6ec2c/house.obj
7652d989-386d-4037-8f77-828fcae6ec2c/L4_R0003.wav,1.16,1.17,1.37,1.23,0.98,0.93,0.77,[ 2.46   1.9   -3.189],[ 3.46   1.9   -3.189],7652d989-386d-4037-8f77-828fcae6ec2c/house.obj
7652d989-386d-4037-8f77-828fcae6ec2c/L5_R0004.wav,0.76,0.81,0.97,1.05,1.04,0.98,0.78,[ 1.46   1.9   -1.189],[-1.54   1.9   -1.189],7652d989-386d-4037-8f77-828fcae6ec2c/house.obj
7652d989-386d-4037-8f77-828fcae6ec2c/L5_R0005.wav,0.71,0.79,0.97,0.97,1.02,0.97,0.77,[ 1.46   1.9   -1.189],[ 2.46   1.9   -1.189],7652d989-386d-4037-8f77-828fcae6ec2c/house.obj
7652d989-386d-4037-8f77-828fcae6ec2c/L5_R0009.wav,0.76,0.69,0.97,0.97,1.01,0.95,0.77,[ 1.46   1.9   -1.189],[3.46  1.9   0.811],7652d989-386d-4037-8f77-828fcae6ec2c/house.obj
4d926be3-62aa-4e42-84ad-649a8fe1e345/L1_R0054.wav,0.96,0.72,0.66,0.55,0.44,0.41,0.38,[1.1703 1.9    2.1414],[-1.8297  0.9     2.1414],4d926be3-62aa-4e42-84ad-649a8fe1e345/house.obj
4d926be3-62aa-4e42-84ad-649a8fe1e345/L2_R0050.wav,1.06,0.81,0.7,0.54,0.45,0.43,0.4,[ 1.1703  0.9    -1.8586],[-2.8297  0.9     1.1414],4d926be3-62aa-4e42-84ad-649a8fe1e345/house.obj
4d926be3-62aa-4e42-84ad-649a8fe1e345/L2_R0052.wav,0.89,0.77,0.65,0.54,0.46,0.43,0.4,[ 1.1703  0.9    -1.8586],[-2.8297  1.9     1.1414],4d926be3-62aa-4e42-84ad-649a8fe1e345/house.obj
4d926be3-62aa-4e42-84ad-649a8fe1e345/L2_R0091.wav,1.03,0.77,0.68,0.58,0.45,0.44,0.41,[ 1.1703  0.9    -1.8586],[-2.8297  1.9     5.1414],4d926be3-62aa-4e42-84ad-649a8fe1e345/house.obj
4d926be3-62aa-4e42-84ad-649a8fe1e345/L3_R0020.wav,1.02,0.94,0.66,0.58,0.46,0.44,0.4,[ 0.1703  0.9    -0.8586],[ 0.1703  0.9    -2.8586],4d926be3-62aa-4e42-84ad-649a8fe1e345/house.obj
4d926be3-62aa-4e42-84ad-649a8fe1e345/L3_R0036.wav,0.92,0.81,0.61,0.55,0.44,0.41,0.38,[ 0.1703  0.9    -0.8586],[-2.8297  1.9    -0.8586],4d926be3-62aa-4e42-84ad-649a8fe1e345/house.obj
4d926be3-62aa-4e42-84ad-649a8fe1e345/L4_R0046.wav,0.97,0.85,0.68,0.55,0.47,0.45,0.41,[ 2.1703  0.9    -3.8586],[0.1703 1.9    0.1414],4d926be3-62aa-4e42-84ad-649a8fe1e345/house.obj
4d926be3-62aa-4e42-84ad-649a8fe1e345/L4_R0088.wav,0.9,0.77,0.69,0.61,0.54,0.49,0.46,[ 2.1703  0.9    -3.8586],[3.1703 1.9    4.1414],4d926be3-62aa-4e42-84ad-649a8fe1e345/house.obj
4d926be3-62aa-4e42-84ad-649a8fe1e345/L5_R0023.wav,0.85,0.85,0.65,0.59,0.47,0.46,0.42,[-1.8297  1.9     1.1414],[-0.8297  1.9    -2.8586],4d926be3-62aa-4e42-84ad-649a8fe1e345/house.obj
4d926be3-62aa-4e42-84ad-649a8fe1e345/L5_R0074.wav,1.03,0.76,0.63,0.51,0.43,0.4,0.36,[-1.8297  1.9     1.1414],[0.1703 1.9    3.1414],4d926be3-62aa-4e42-84ad-649a8fe1e345/house.obj
3186dc14-6778-4412-8792-68bbc2dae22a/L1_R0021.wav,0.85,0.86,0.76,0.92,0.97,0.94,0.84,[-0.2782  0.9987 -3.6561],[-0.2782  1.9987 -1.6561],3186dc14-6778-4412-8792-68bbc2dae22a/house.obj
3186dc14-6778-4412-8792-68bbc2dae22a/L1_R0025.wav,0.85,0.87,0.8,0.92,0.97,0.94,0.85,[-0.2782  0.9987 -3.6561],[ 1.7218  0.9987 -0.6561],3186dc14-6778-4412-8792-68bbc2dae22a/house.obj
3186dc14-6778-4412-8792-68bbc2dae22a/L1_R0048.wav,0.8,0.97,0.79,0.93,0.97,0.96,0.86,[-0.2782  0.9987 -3.6561],[1.7218 0.9987 2.3439],3186dc14-6778-4412-8792-68bbc2dae22a/house.obj
3186dc14-6778-4412-8792-68bbc2dae22a/L2_R0050.wav,0.72,0.83,0.72,0.81,0.89,0.88,0.78,[0.7218 0.9987 1.3439],[1.7218 1.9987 2.3439],3186dc14-6778-4412-8792-68bbc2dae22a/house.obj
3186dc14-6778-4412-8792-68bbc2dae22a/L3_R0001.wav,0.67,0.66,0.52,0.58,0.7,0.69,0.61,[ 0.7218  0.9987 -5.6561],[-0.2782  0.9987 -5.6561],3186dc14-6778-4412-8792-68bbc2dae22a/house.obj
3186dc14-6778-4412-8792-68bbc2dae22a/L3_R0029.wav,0.7,0.86,0.83,0.89,0.95,0.93,0.84,[ 0.7218  0.9987 -5.6561],[ 2.7218  1.9987 -0.6561],3186dc14-6778-4412-8792-68bbc2dae22a/house.obj
3186dc14-6778-4412-8792-68bbc2dae22a/L4_R0001.wav,1.04,0.85,0.79,0.91,0.94,0.93,0.84,[ 0.7218  1.9987 -0.6561],[-0.2782  0.9987 -5.6561],3186dc14-6778-4412-8792-68bbc2dae22a/house.obj
3186dc14-6778-4412-8792-68bbc2dae22a/L4_R0008.wav,0.9,1.01,0.88,0.94,1.0,0.97,0.89,[ 0.7218  1.9987 -0.6561],[ 2.7218  0.9987 -4.6561],3186dc14-6778-4412-8792-68bbc2dae22a/house.obj
