rir_name,T60_125Hz,T60_250Hz,T60_500Hz,T60_1000Hz,T60_2000Hz,T60_4000Hz,T60_8000Hz,Source_Pos,Receiver_Pos,mesh_name,Distance
58182b3f-7bbe-4f79-a753-fda11c5941ef/L4_R0029.wav,0.88,0.93,0.93,0.92,0.51,0.5,0.5,[-1.0872  1.9     2.823 ],[-1.0872  1.9     1.823 ],58182b3f-7bbe-4f79-a753-fda11c5941ef/house.obj,1.0
2513701f-f5ab-41b5-9d0b-af10956551bf/L3_R0005.wav,0.21,0.26,0.23,0.22,0.19,0.18,0.17,[ 1.9847  0.9997 -5.0348],[ 1.9847  1.9997 -5.0348],2513701f-f5ab-41b5-9d0b-af10956551bf/house.obj,1.0
2513701f-f5ab-41b5-9d0b-af10956551bf/L5_R0028.wav,0.22,0.2,0.17,0.14,0.12,0.12,0.11,[-1.0153  0.9997  0.9652],[-1.0153  0.9997 -0.0348],2513701f-f5ab-41b5-9d0b-af10956551bf/house.obj,1.0
14abc843-9e80-447d-866b-7b4c16dc5097/L1_R0008.wav,0.09,0.05,0.04,0.02,0.02,0.02,0.02,[-0.6892  2.9987 -2.7884],[-1.6892  2.9987 -2.7884],14abc843-9e80-447d-866b-7b4c16dc5097/house.obj,1.0
14abc843-9e80-447d-866b-7b4c16dc5097/L4_R0009.wav,0.18,0.19,0.13,0.2,0.18,0.16,0.14,[-2.6892  0.9987 -1.7884],[-3.6892  0.9987 -1.7884],14abc843-9e80-447d-866b-7b4c16dc5097/house.obj,1.0
9c5b2318-55ab-4839-b470-5dd0856a3385/L4_R0033.wav,1.22,1.45,1.26,1.0,0.8,0.81,0.74,[-0.9586  1.9    10.5156],[-1.9586  1.9    10.5156],9c5b2318-55ab-4839-b470-5dd0856a3385/house.obj,0.9999999999999999
613659b3-841c-4862-978d-14c487fbb222/L1_R0020.wav,0.4,0.47,0.43,0.44,0.37,0.32,0.3,[ 2.835   0.9    -2.0475],[ 1.835   0.9    -2.0475],613659b3-841c-4862-978d-14c487fbb222/house.obj,1.0
ece8e167-2a42-486c-9fba-7ea04a71a035/L3_R0011.wav,0.78,0.76,0.57,0.59,0.54,0.56,0.51,[ 0.9547  0.9    -1.1663],[ 0.9547  0.9    -2.1663],ece8e167-2a42-486c-9fba-7ea04a71a035/house.obj,1.0000000000000002
86223b94-4407-468b-b593-c436c1ee5127/L4_R0048.wav,0.58,0.6,0.7,0.99,0.98,0.83,0.66,[-1.3624  1.      1.0952],[-0.3624  1.      1.0952],86223b94-4407-468b-b593-c436c1ee5127/house.obj,1.0
4a2af13b-ca75-4c80-b52e-e47a55b7b636/L3_R0141.wav,0.98,0.66,0.51,0.45,0.52,0.47,0.41,[-3.522   0.9     2.9137],[-3.522   1.9     2.9137],4a2af13b-ca75-4c80-b52e-e47a55b7b636/house.obj,0.9999999999999999
cf11351b-d370-40bc-afa0-3f0e09c74d1e/L4_R0048.wav,0.65,0.55,0.58,0.59,0.57,0.57,0.54,[-0.074   0.999   0.6281],[-0.074   1.999   0.6281],cf11351b-d370-40bc-afa0-3f0e09c74d1e/house.obj,1.0
200710c5-dab8-441c-b61c-bc1379424dfc/L1_R0206.wav,0.56,0.4,0.4,0.44,0.42,0.4,0.39,[4.1133 0.9    6.0217],[3.1133 0.9    6.0217],200710c5-dab8-441c-b61c-bc1379424dfc/house.obj,0.9999999999999996
ba1ea4ea-d448-4abb-a7fd-de1ae548f136/L1_R0061.wav,0.68,0.55,0.65,0.66,0.36,0.33,0.31,[-2.1759  0.9    -1.081 ],[-2.1759  0.9    -2.081 ],ba1ea4ea-d448-4abb-a7fd-de1ae548f136/house.obj,1.0
20c7cedd-3f8d-455d-b043-ccdabac8f3c7/L1_R0011.wav,0.49,0.5,0.6,0.71,0.62,0.65,0.6,[ 2.3649  1.9    -0.395 ],[ 2.3649  1.9    -1.395 ],20c7cedd-3f8d-455d-b043-ccdabac8f3c7/house.obj,1.0
20c7cedd-3f8d-455d-b043-ccdabac8f3c7/L4_R0009.wav,0.52,0.49,0.61,0.64,0.62,0.64,0.6,[ 0.3649  0.9    -1.395 ],[ 0.3649  1.9    -1.395 ],20c7cedd-3f8d-455d-b043-ccdabac8f3c7/house.obj,0.9999999999999999
226ea487-030d-456e-ac5f-e5afe1327571/L1_R0002.wav,0.47,0.68,0.77,0.8,0.61,0.71,0.69,[ 1.7138  2.     -0.8973],[ 1.7138  1.     -0.8973],226ea487-030d-456e-ac5f-e5afe1327571/house.obj,1.0
226ea487-030d-456e-ac5f-e5afe1327571/L2_R0007.wav,0.43,0.44,0.49,0.48,0.5,0.58,0.56,[-0.2862  1.      1.1027],[-1.2862  1.      1.1027],226ea487-030d-456e-ac5f-e5afe1327571/house.obj,1.0
